time,couple,theta,omega,coil,offset
0.000000,-0.027798,0.000000,0.000000,C,0.172000
0.000000,0.042412,-0.455969,-4.559692,B,0.172000
0.000000,0.015762,-0.063702,3.922677,A,0.172000
0.000000,0.040837,0.643804,7.075056,A,0.172000
0.000000,0.045503,2.168054,15.242502,B,0.172000
0.000000,0.010407,4.602374,24.343196,C,0.172000
0.000000,0.012777,7.244832,26.424580,A,0.172000
0.000000,0.030822,10.142828,28.979963,C,0.172000
0.000000,0.033582,13.657270,35.144416,A,0.172000
0.000000,0.032963,17.843351,41.860814,A,0.172000
0.000000,0.035629,22.688696,48.453449,B,0.172000
